Possible frequencies: [30.0, 20.0, 15.0, 12.0, 10.0, 8.571428571428571, 7.5, 6.666666666666667, 6.0]
Target frequencies: [7.5, 8.57, 10, 12]
Recording time: 120.50 s
	Recording started at: 20:36:29
	Recording ended at: 20:38:32

Iteration duration: 2 s

Iteration: 0, f: 6.666666666666667 Hz, R_max: 0.4815278684545038, R_sec: 0.4316277122581836, R_sec/R_max = 0.8963711978779585
Iteration: 1, f: 10.0 Hz, R_max: 0.4432425375550941, R_sec: 0.3081912941287526, R_sec/R_max = 0.6953107340029275
Iteration: 2, f: 7.5 Hz, R_max: 0.455412164307145, R_sec: 0.40079506802593706, R_sec/R_max = 0.8800710640562242
Iteration: 3, f: 6.666666666666667 Hz, R_max: 0.4521150231075308, R_sec: 0.32156652611354875, R_sec/R_max = 0.7112493716827178
Iteration: 4, f: 7.5 Hz, R_max: 0.466915791064795, R_sec: 0.2877451114790554, R_sec/R_max = 0.6162676803516468
Iteration: 5, f: 7.5 Hz, R_max: 0.5010898620887679, R_sec: 0.3853842000016412, R_sec/R_max = 0.7690919915944547
Iteration: 6, f: 7.5 Hz, R_max: 0.4344127086748574, R_sec: 0.3379718942517857, R_sec/R_max = 0.7779972535397112
Iteration: 7, f: 7.5 Hz, R_max: 0.6215826537444771, R_sec: 0.347998230786612, R_sec/R_max = 0.5598583369246798
Iteration: 8, f: 7.5 Hz, R_max: 0.4658237732439359, R_sec: 0.32889528667182893, R_sec/R_max = 0.7060508835378777
Iteration: 9, f: 7.5 Hz, R_max: 0.40775991453551846, R_sec: 0.2984122999953447, R_sec/R_max = 0.7318333395651894
Iteration: 10, f: 7.5 Hz, R_max: 0.4861074862028232, R_sec: 0.4031066518312391, R_sec/R_max = 0.8292541531916403
Iteration: 11, f: 30.0 Hz, R_max: 0.33998235623833767, R_sec: 0.3129589081098613, R_sec/R_max = 0.9205151454696898
Iteration: 12, f: 7.5 Hz, R_max: 0.33928036591485033, R_sec: 0.3226531267460693, R_sec/R_max = 0.9509926278110828
Iteration: 13, f: 6.0 Hz, R_max: 0.369878781389168, R_sec: 0.3073056456875596, R_sec/R_max = 0.8308279932506534
Iteration: 14, f: 8.571428571428571 Hz, R_max: 0.34269505281007767, R_sec: 0.3412294521711221, R_sec/R_max = 0.9957233096102854
Iteration: 15, f: 8.571428571428571 Hz, R_max: 0.4640274837278629, R_sec: 0.3126499996431967, R_sec/R_max = 0.6737747452617608
Iteration: 16, f: 8.571428571428571 Hz, R_max: 0.5651038324445984, R_sec: 0.37095945313778483, R_sec/R_max = 0.6564447661468531
Iteration: 17, f: 8.571428571428571 Hz, R_max: 0.5332622843505245, R_sec: 0.34368931919922774, R_sec/R_max = 0.6445033321976199
Iteration: 18, f: 8.571428571428571 Hz, R_max: 0.28844234324105883, R_sec: 0.2871327888363231, R_sec/R_max = 0.9954599092837029
Iteration: 19, f: 8.571428571428571 Hz, R_max: 0.35750408792898936, R_sec: 0.33562426731080774, R_sec/R_max = 0.9387984043904763
Iteration: 20, f: 6.0 Hz, R_max: 0.37345244150442747, R_sec: 0.277796761880448, R_sec/R_max = 0.7438611480523808
Iteration: 21, f: 7.5 Hz, R_max: 0.39511697425491454, R_sec: 0.3392986427255402, R_sec/R_max = 0.8587296037214477
Iteration: 22, f: 8.571428571428571 Hz, R_max: 0.4891488955611531, R_sec: 0.250596370836127, R_sec/R_max = 0.5123110224927363
Iteration: 23, f: 8.571428571428571 Hz, R_max: 0.5224536911279188, R_sec: 0.37820411327500986, R_sec/R_max = 0.7238997823108679
Iteration: 24, f: 8.571428571428571 Hz, R_max: 0.650716813437851, R_sec: 0.3601131524447406, R_sec/R_max = 0.5534099396359526
Iteration: 25, f: 8.571428571428571 Hz, R_max: 0.49598102955495627, R_sec: 0.35467154514808935, R_sec/R_max = 0.7150909490758872
Iteration: 26, f: 8.571428571428571 Hz, R_max: 0.5106708901204963, R_sec: 0.30207070788161317, R_sec/R_max = 0.5915173817922881
Iteration: 27, f: 8.571428571428571 Hz, R_max: 0.49141132586849734, R_sec: 0.42269709235633457, R_sec/R_max = 0.8601696178029262
Iteration: 28, f: 8.571428571428571 Hz, R_max: 0.45258596539047624, R_sec: 0.3077786271342293, R_sec/R_max = 0.6800445675965406
Iteration: 29, f: 6.666666666666667 Hz, R_max: 0.43374468456408216, R_sec: 0.35451375847530536, R_sec/R_max = 0.8173328022027413
Iteration: 30, f: 10.0 Hz, R_max: 0.3887157721927231, R_sec: 0.3157216091776892, R_sec/R_max = 0.8122171307758416
Iteration: 31, f: 20.0 Hz, R_max: 0.4240592562631598, R_sec: 0.4056434530176107, R_sec/R_max = 0.9565725709943688
Iteration: 32, f: 20.0 Hz, R_max: 0.397535948921537, R_sec: 0.32568741141743845, R_sec/R_max = 0.819265307454548
Iteration: 33, f: 10.0 Hz, R_max: 0.36998800430959167, R_sec: 0.35757535840029187, R_sec/R_max = 0.9664512206754861
Iteration: 34, f: 10.0 Hz, R_max: 0.3514277425463689, R_sec: 0.3200089961461488, R_sec/R_max = 0.9105968522218346
Iteration: 35, f: 12.0 Hz, R_max: 0.35826339920431755, R_sec: 0.3467501170496654, R_sec/R_max = 0.96786363837271
Iteration: 36, f: 10.0 Hz, R_max: 0.5024002546688245, R_sec: 0.4745235347384571, R_sec/R_max = 0.9445129263544195
Iteration: 37, f: 10.0 Hz, R_max: 0.38299513027296195, R_sec: 0.3823724148792575, R_sec/R_max = 0.9983740905706538
Iteration: 38, f: 6.666666666666667 Hz, R_max: 0.361000668943053, R_sec: 0.3167330597091112, R_sec/R_max = 0.8773752709003293
Iteration: 39, f: 10.0 Hz, R_max: 0.3647465963125757, R_sec: 0.2888271050649338, R_sec/R_max = 0.7918568890973792
Iteration: 40, f: 10.0 Hz, R_max: 0.4630916254216462, R_sec: 0.46208016675212465, R_sec/R_max = 0.9978158562712063
Iteration: 41, f: 6.0 Hz, R_max: 0.37468930146687546, R_sec: 0.37430456574805376, R_sec/R_max = 0.9989731873386417
Iteration: 42, f: 10.0 Hz, R_max: 0.5316936222827487, R_sec: 0.4777302795995852, R_sec/R_max = 0.8985066955449271
Iteration: 43, f: 20.0 Hz, R_max: 0.4052410215754731, R_sec: 0.341546851873129, R_sec/R_max = 0.8428239829849468
Iteration: 44, f: 10.0 Hz, R_max: 0.39736730983613966, R_sec: 0.37683225135542564, R_sec/R_max = 0.9483222248725444
Iteration: 45, f: 10.0 Hz, R_max: 0.4476401354550973, R_sec: 0.3598123200239412, R_sec/R_max = 0.8037981662616889
Iteration: 46, f: 10.0 Hz, R_max: 0.3900947692395274, R_sec: 0.3220315803397501, R_sec/R_max = 0.8255214007804732
Iteration: 47, f: 12.0 Hz, R_max: 0.4670939240748251, R_sec: 0.2890100756508835, R_sec/R_max = 0.6187408158291225
