ch1,ch2,ch3,ch4,t
-102.83041923167184,650.4228308438323,271.9711346277036,-318.22247737972066,0.0
-78.610827118624,673.4456549710594,295.4277871497907,-299.6837932993658,0.005
-95.04394752392545,662.1249778051861,280.0493185319938,-307.8741742023267,0.01
-121.39528261171654,630.6911186776124,251.67469756817445,-334.367625488434,0.015
-100.30224686162546,657.3902644612826,280.83469752268866,-314.14972632797435,0.02
-87.90447850851342,667.1140043460764,295.17347395280376,-306.580168817658,0.025
-100.66501715732738,658.3102798503824,277.50244666216895,-313.77199643244967,0.03
-127.00139264529571,636.1700721126981,257.9502496938221,-338.5450937389396,0.035
-109.90257004788145,643.0402683313005,267.61415117932484,-330.37341233575717,0.04
-92.12308565853164,673.0080866762437,306.905540113803,-301.77813727455214,0.045
-106.59649848705158,650.8566592386924,280.4794070268981,-321.96237733541057,0.05
-131.7473256890662,630.5078635797836,256.8133201072924,-345.2282949597575,0.055
-103.73173512099311,653.4484099079855,280.53924542618915,-323.7350899144076,0.06
-84.79288174537942,671.231634197291,302.62709456449375,-304.6092415410094,0.065
-93.46944964258,656.6460243701003,280.5242858263664,-322.66547852708027,0.07
-107.93912257114425,646.8026076867245,271.64576333155856,-329.5057555460371,0.075
-96.50250850664452,655.7260089810006,277.80163865862414,-313.36434733727947,0.08
-80.26012299908325,672.944508376997,298.8722350089811,-300.9852784839459,0.085
-96.9138975017704,656.3917111731134,284.7466328763403,-317.30620189057663,0.09
-120.56876472150907,635.3846931220032,255.6913501205854,-332.4041780116968,0.095
-97.30284709716216,657.0312340655364,276.64600957231596,-318.63386637484655,0.1
-79.08205451304093,673.9355818652548,301.3854477792047,-299.6763134994544,0.105
-95.14866472268477,663.5237003886141,282.1997610065155,-309.26167708588764,0.11
-120.67348192026839,632.3516342579387,255.5454940223135,-334.7752745836042,0.115
-102.24325493862852,648.7099566641264,278.5944974492304,-318.55158857582137,0.12
-73.34130808105692,682.6906876615249,308.6408536932431,-291.2241395995952,0.125
-109.401423453819,643.8892256212421,272.97716771578416,-323.4358979179524,0.13
-120.52762582199648,633.7503568413667,261.5480334511958,-340.71049581328407,0.135
-117.33001135988161,650.9950355370529,276.13364327838644,-329.30754084838554,0.14
-79.91231230320409,677.5408454225399,301.63228117628023,-302.88888756139204,0.145
-101.31949964957312,655.4754356839694,288.72214652923867,-323.6827313150279,0.15
-119.33085783617571,643.0514880311675,265.5796456034295,-340.2093492192216,0.155
-103.49986132374033,650.1236388473772,276.3281180760823,-329.2439625491388,0.16
-73.2403307822533,680.9217149824835,301.66220037592575,-300.18119999347255,0.165
-93.34977284399793,655.5988523825072,277.39772946340963,-317.6053938870318,0.17
-116.61943036830053,637.3930193982087,256.8843782064505,-338.2533815423958,0.175
-109.67069625062868,654.8396526915021,278.57205804949626,-319.9465712592937,0.18
