frequency,correlation,time
12.0,0.39523264626341875,11:42:44
12.0,0.25240498546116363,11:42:46
12.0,0.259442014529496,11:42:48
12.0,0.19259694882731623,11:42:50
12.0,0.29109954657023396,11:42:52
12.0,0.3367799074657874,11:42:54
12.0,0.3470028854971753,11:42:56
12.0,0.17302078221351763,11:42:58
12.0,0.15682198038803474,11:43:00
12.0,0.3039792910748487,11:43:02
12.0,0.2768007024106217,11:43:04
12.0,0.18764806720717625,11:43:06
12.0,0.16458591373953652,11:43:08
12.0,0.29594345097424424,11:43:10
12.0,0.21600338207428732,11:43:12
12.0,0.2644371632480311,11:43:14
12.0,0.22087081063922018,11:43:16
12.0,0.10960545821248321,11:43:18
12.0,0.2867039378005481,11:43:20
12.0,0.4369858176061848,11:43:22
12.0,0.2984974205171512,11:43:24
12.0,0.20769375414244273,11:43:26
12.0,0.23475915228506372,11:43:28
12.0,0.28137105501598636,11:43:30
12.0,0.43886214024306536,11:43:32
12.0,0.23337795990060572,11:43:34
12.0,0.5053901037713961,11:43:37
12.0,0.2666752007775121,11:43:39
12.0,0.19479382721770402,11:43:41
12.0,0.298188794956511,11:43:43
12.0,0.3102108944888378,11:43:45
12.0,0.17257099359267128,11:43:47
12.0,0.20240992242548098,11:43:49
12.0,0.20012669907594333,11:43:51
12.0,0.26120648054971773,11:43:53
12.0,0.22448317823701527,11:43:55
12.0,0.14933695311368939,11:43:57
12.0,0.24493363091516698,11:43:59
12.0,0.15885862491878333,11:44:01
12.0,0.17484923768246866,11:44:03
12.0,0.1700564717761416,11:44:05
12.0,0.17057984196533815,11:44:07
12.0,0.1661524886964462,11:44:09
12.0,0.2711702624572087,11:44:11
12.0,0.29975138115151934,11:44:13
12.0,0.2457543933290397,11:44:15
12.0,0.23013592577466047,11:44:17
12.0,0.16063868445990226,11:44:19
12.0,0.17705891926954673,11:44:21
12.0,0.2767223070490584,11:44:23
12.0,0.18131598587421505,11:44:25
12.0,0.3497859498185492,11:44:27
12.0,0.1374608876077838,11:44:29
12.0,0.24059696765094732,11:44:31
12.0,0.1627725669915475,11:44:33
12.0,0.2230377406614071,11:44:35
