ch1,ch2,ch3,ch4,f
39.89436152298822,555.6318040459142,285.5946015963738,637.1685079671688,0.0
159.5774960874546,2222.528462890682,1142.3820903666638,2548.6743014076383,0.006
159.5780570287988,2222.5323111634357,1142.3915910647825,2548.677070511131,0.012
159.57917081610984,2222.5388432522363,1142.40829870929,2548.6795192810873,0.018
159.5805482063164,2222.5473716708125,1142.4309671990845,2548.684817232033,0.024
159.5824469423828,2222.558474310616,1142.4602774218038,2548.6909789957895,0.031
159.5844910561384,2222.5725361566583,1142.4968112103763,2548.6973192867126,0.037
159.58727175556564,2222.588974323513,1142.539324994607,2548.705341996992,0.043
159.59010261418325,2222.608175215523,1142.5885856199968,2548.715762082705,0.049
159.59367625631555,2222.629120422266,1142.6440851029854,2548.726476399869,0.055
159.59745760208605,2222.6536297529965,1142.7062107476663,2548.7385708642983,0.061
159.6017284299122,2222.679757814032,1142.7752503591994,2548.753218443048,0.067
159.60636388033396,2222.708268358576,1142.851189423575,2548.7693308582166,0.073
159.61169912329117,2222.7403151094954,1142.9325393430715,2548.7834964665944,0.079
159.61675832016675,2222.774258722354,1143.0219359413697,2548.8018270693124,0.085
159.62287403270858,2222.811006951426,1143.1161923835239,2548.821380660804,0.092
159.6290827329108,2222.849651740662,1143.2187590605442,2548.8411277073988,0.098
159.63560452033005,2222.890568744925,1143.3264419741097,2548.861876099071,0.104
159.64289249474456,2222.935371830967,1143.4412246256175,2548.8855473677454,0.11
159.65015215798311,2222.9816114536698,1143.5624134737348,2548.908963734007,0.116
159.6582290754937,2223.031027798813,1143.691282046127,2548.935306476012,0.122
159.66629629168398,2223.081890507008,1143.8256641233493,2548.9619398226187,0.128
159.6751480075776,2223.1370655329642,1143.9670621620528,2548.9900301258285,0.134
159.68425873665208,2223.193235526544,1144.114523399104,2549.0191433512105,0.14
159.69378192731855,2223.2527934927084,1144.2692633927197,2549.0501119241603,0.146
159.70352455071364,2223.3141623255688,1144.4300518219218,2549.0818767471283,0.153
159.71414547164198,2223.3788258820496,1144.5973690283993,2549.1151198106304,0.159
159.7245728494798,2223.4457047093156,1144.7717396654475,2549.149669977531,0.165
159.73573484487588,2223.5141613611563,1144.952849508367,2549.186048174531,0.171
159.7474200051869,2223.5863861029975,1145.1409722070066,2549.222009862213,0.177
159.75915472947872,2223.660384351443,1145.334861819132,2549.261463183723,0.183
159.77155373174767,2223.736694377728,1145.5343856572085,2549.300539357884,0.189
159.78445730696473,2223.8169624297425,1145.7436317972542,2549.3423421284942,0.195
159.79722946831697,2223.898688887183,1145.9563452686127,2549.3859987541637,0.201
159.81121879682456,2223.982884428925,1146.1777132368704,2549.4275788508044,0.208
159.82479014801174,2224.070897321213,1146.405077499691,2549.474807819276,0.214
159.83956971284948,2224.1589024980617,1146.6394452330965,2549.5192984036394,0.22
159.8536494614836,2224.252998670443,1146.8803900458583,2549.56772144945,0.226
159.8698267446162,2224.3462133001926,1147.1270296334199,2549.6153096294147,0.232
159.885382095232,2224.444364333992,1147.3832672551957,2549.670788854768,0.238
159.90020080760505,2224.541508355141,1147.6417523126293,2549.7154235589765,0.244
159.91894688850192,2224.648811481577,1147.9112998687317,2549.776590540806,0.25
159.93392942642487,2224.7500249777645,1148.1828951399998,2549.826171813945,0.256
159.95165953925633,2224.8605757218793,1148.4688621404491,2549.8839771932044,0.262
159.96832947252045,2224.9643684328566,1148.7503914912886,2549.9390176215798,0.269
159.98872508487045,2225.085579353281,1149.0538490487518,2550.0039775463097,0.275
160.00493963980375,2225.1951030890327,1149.3487419542585,2550.059023940714,0.281
160.02670376843886,2225.316075277662,1149.6558685706045,2550.117493731897,0.287
160.04471029525686,2225.4383541170555,1149.9762491154254,2550.194214020684,0.293
160.06493420142257,2225.557594110544,1150.2957070709983,2550.2440856633975,0.299
160.08390989783314,2225.686486656717,1150.6276529188567,2550.316564205975,0.305
160.10708199630454,2225.8060824832187,1150.9579418891801,2550.375581291745,0.311
160.12746519183207,2225.9558004884448,1151.313456435413,2550.4606249435083,0.317
160.14677966695643,2226.059598207274,1151.644494017383,2550.4991126257632,0.323
160.1720635415522,2226.2248276685077,1152.0163332126492,2550.606095376736,0.33
160.18952576391584,2226.350469077457,1152.3699054672434,2550.6484781745326,0.336
160.22093988886346,2226.4915614502197,1152.7543617884555,2550.738435025511,0.342
160.23212303829786,2226.6304561435127,1153.1044197559036,2550.7980773438962,0.348
160.26931899075407,2226.7925561967336,1153.5143907330428,2550.894018689005,0.354
160.27998638407757,2226.9168335076865,1153.8794630316283,2550.9476251108813,0.36
160.31490591064673,2227.0872879753124,1154.289211892278,2551.052120460966,0.366
160.3360062689693,2227.2178497677414,1154.687477566152,2551.117449029629,0.372
160.3571933228843,2227.3994171862887,1155.1026443334126,2551.1925784692144,0.378
160.3892568114855,2227.52893169619,1155.5312035884283,2551.2709668834086,0.385
160.3988476735264,2227.70128170628,1155.9490152284252,2551.3527065669023,0.391
160.44483541136776,2227.860211015052,1156.3804955726346,2551.4500042654636,0.397
160.45236827851357,2228.002800477663,1156.7848103473057,2551.4657904056257,0.403
160.49343300069702,2228.2508866534668,1157.2697835973422,2551.671100131911,0.409
160.5079168893357,2228.3009115379305,1157.6696318521554,2551.607640164673,0.415
160.54394797936317,2228.578285454025,1158.174554576581,2551.8302376846264,0.421
160.55653674153834,2228.63375031903,1158.6004113055424,2551.7946865793187,0.427
160.60145796338506,2228.9208523749435,1159.127465390178,2552.0073476995444,0.433
160.61057591022478,2228.965493785568,1159.5269900699757,2551.9585694802377,0.439
160.65629109427167,2229.2620830608976,1160.0926204876698,2552.1568307386956,0.446
160.65813231378337,2229.404108785007,1160.5009934157397,2552.1850306533734,0.452
160.71638502077215,2229.5656528051413,1161.0929008777248,2552.301229479196,0.458
160.71373670580803,2229.761089142891,1161.5313615574526,2552.395428180702,0.464
160.77667303537626,2229.9659309128697,1162.0646461923554,2552.4047679388377,0.47
160.79817291623115,2230.1895486353183,1162.580887640175,2552.7134364224285,0.476
160.81076233799038,2230.2806997027574,1163.0591989992308,2552.5528501628755,0.482
160.87548233331657,2230.665719464374,1163.6777362457196,2552.9877351394643,0.488
160.86504075696254,2230.671529976184,1164.08971272884,2552.756738298474,0.494
