ch1,ch2,ch3,ch4,t
-136.26138493558392,309.91428962815553,231.45118855778128,-140.69877623301,0.0
-141.02975737908855,306.69049586635083,227.83096540067345,-146.89953035954386,0.005
-173.4696495947428,270.0918348999694,183.0456634312868,-186.99499778449535,0.01
-151.28830295754597,286.2893416080624,206.32654065545648,-167.5250786151737,0.015
-137.92190051591024,313.23532078880817,232.23656754847616,-140.73991513252258,0.02
-155.4208924085833,301.2900803303346,229.7009153785184,-154.54388586897403,0.025
-180.9606692059897,262.2006459934637,173.744532241486,-198.1660789521411,0.03
-157.36564038554206,278.41311230137944,187.9823313727975,-186.48263149056584,0.035
-137.25993822375312,308.5903650438413,218.4737357115373,-151.98579429928213,0.04
-156.74481699289754,295.1790838027373,219.12073840387166,-161.34302398841828,0.045
-189.7382144019939,257.7913039457053,185.0539897074923,-206.56589425262064,0.05
-175.29846067307517,274.1758056515828,212.33655988425016,-196.91695236694068,0.055
-140.21071928879246,308.05929925013334,223.34308545384556,-158.7811925187707,0.06
-153.07971503632143,291.8692723419517,211.988749188371,-177.62280849553645,0.065
-183.18590967962518,261.2020927052945,189.36983425635844,-209.6550516160205,0.07
-174.38218518393114,270.9071330903098,194.07462840061635,-201.51702931243926,0.075
-136.489518832881,310.2957594236359,235.34442441165447,-162.99605976883322,0.08
-145.58495552511886,298.6609306614846,223.54130015149713,-167.42410131637007,0.085
-183.85909167164937,260.76452441047877,186.94637908507138,-206.47613665368408,0.09
-165.2867484916933,277.9493647068739,208.83227362576872,-180.1995995650068,0.095
-134.4176142574288,309.89933002833277,243.94993420969695,-139.2888339497149,0.1
-151.32944185705855,294.16557091474533,220.96450908202678,-156.43627524655312,0.105
-175.6200920692645,267.48138473089784,191.28466303367168,-183.83852222189307,0.11
-155.55552880698815,282.07073445804417,202.75493619777262,-173.4528200449422,0.115
-135.22543264785782,311.8814770048484,235.02653291542083,-143.50370119977742,0.12
-148.12060769507661,298.3692184649408,221.53297387529165,-159.53291240986437,0.125
-165.48870308930054,272.2123581748456,191.02660993672907,-186.40035369154066,0.13
-178.55591353448108,274.5011769477278,197.9491647547111,-184.85203510988504,0.135
-138.14255461329594,314.009480079636,234.93303541652858,-144.2180220913142,0.14
-155.47325100796297,292.6883104322478,216.2110962383449,-165.9356211340055,0.145
-181.39449760084972,262.7092723874375,185.92538639716804,-203.49543638899922,0.15
-170.19723713351414,281.6107267634943,204.49024977721274,-188.36380116827786,0.155
-143.54297014931217,306.68301606643945,221.9593224702403,-159.7086877077818,0.16
-154.74397051660344,296.85829888284206,207.12313934601843,-172.65996125433594,0.165
-181.11026520421728,266.0190838482231,192.10370112396777,-203.63007278740406,0.17
-166.57327407645062,281.41251206584275,205.45514396578074,-191.96532482560724,0.175
-141.29529027594253,308.98305453918874,227.38965720590204,-162.71930717211217,0.18
-153.03483623685315,292.0637471396476,214.47952255886048,-173.57249684352428,0.185
-177.30678694928065,267.3804074320942,192.29817592166364,-201.14677921682596,0.19
-164.7220235983841,280.77672907337546,203.60763338766992,-183.52063072565943,0.195
-131.54163119150326,313.46719458606094,226.13679072074592,-144.79022678453475,0.2
-148.52451689029112,305.3029929827899,228.78463988937438,-152.33734489511698,0.205
-170.0626007351093,278.177498604171,188.99210436083376,-184.74357801117003,0.21
-153.88379352679476,289.9619233645499,204.63984577544034,-170.7451324770227,0.215
-127.20334724290296,320.8572368985042,231.34273145906627,-140.50056153535843,0.22
-147.7952363989316,293.49238892272115,206.92118474841118,-167.3006846178323,0.225
-171.46506321849301,271.00063058920205,197.67615205794573,-185.99270459637046,0.23
-168.3609462552704,280.55607497598976,212.68811048008502,-180.10984196607023,0.235
-137.4918120210059,316.64610954839736,232.26648674812168,-151.08821830991656,0.24
-153.6444399296306,298.42531696427613,215.38083844818175,-166.60880312602967,0.245
-177.4040243481286,271.4568983837962,190.26367034576833,-203.6936510866508,0.25
-161.08684084145352,280.3466405784711,199.80789503268898,-188.77519016340375,0.255
-142.67157345963642,309.6936355307698,231.53346635680646,-150.95358191151172,0.26
-164.14981890516356,294.2889876132831,203.74600968603045,-171.9306807629764,0.265
-186.4059635414742,259.7136125229299,185.62245450075716,-208.64901852793992,0.27
-167.19783736905083,287.63196569215506,219.22171570267528,-185.648633800447,0.275
-140.1621005893685,308.23507454805076,229.56253908015788,-155.83789125364274,0.28
-155.9781375019811,294.23288911394775,215.5079950466752,-166.33205052930862,0.285
-175.13016517506912,270.21899149846286,196.54670227132738,-196.8010154683143,0.29
-157.24596358696,280.4401380773634,196.56166187115014,-182.35378193948418,0.295
-130.5655173030682,316.4778140503913,240.19881455413997,-140.1452710395679,0.3
-153.6145207299851,296.039260792546,216.67110393289477,-161.42530178744346,0.305
-180.4408231121488,266.43795264326036,194.14568649977446,-196.39710627309978,0.31
-163.66363191092387,281.22177716810256,215.09660605154932,-186.28441679291427,0.315
-133.83792976429686,313.61679058428854,234.27107312437147,-145.85609827190638,0.32
-146.91635990934446,296.89943778235465,215.19758335035294,-155.4115426586941,0.325
-172.05596741149202,258.6739203352481,182.17800664156675,-192.63850681763142,0.33
-170.12617903435603,276.66283912211657,201.40857221372426,-186.84914168622345,0.335
-138.16499401303008,312.90994949266315,249.2269330471754,-147.3296188544482,0.34
-159.92747185518965,285.41420501843095,204.19479768071324,-174.4887723326683,0.345
-177.86777194263414,259.13392802979797,176.63921480719,-205.2457095682621,0.35
-165.6906576869078,282.9870099471882,208.85097312554717,-184.67251991201192,0.355
-155.59666770650074,303.1525505082682,221.59281227458268,-161.40286238770932,0.36
-152.95629833778366,297.5015616752207,209.23244292102754,-166.81449762359262,0.365
-187.6663098265417,255.59224277175963,180.715705758892,-212.19444368593395,0.37
-164.56494780024514,287.3140741959214,216.9964752290398,-186.2357980934903,0.375
-144.55274313734844,309.3046859353781,229.58123857993633,-156.72424754314125,0.38
-152.9413387379609,289.75622886698693,205.8066945616156,-168.99111939780414,0.385
-183.60103857470676,260.06890301872045,183.09802203066647,-203.3196610910818,0.39
-162.25368962762877,283.3647398427129,213.98211586475372,-185.22976500540972,0.395
-132.50278548011556,318.6394762247801,251.55315081961453,-138.46605595946312,0.4
-156.99165038997307,289.93574406486005,206.4275179542601,-165.06422444432974,0.405
-185.80009974865243,253.29220429901034,171.80726406443864,-210.59002660494298,0.41
-156.55408209515736,286.19584410917014,214.84977265447378,-177.013204802759,0.415
-132.55140417953953,313.153042989783,241.5638780379668,-146.40960346534848,0.42
-162.44816442532465,286.3641396071762,201.5357288122177,-172.23735255934298,0.425
-180.48944181157276,260.7832239102572,184.77723711077124,-201.82744100876153,0.43
-169.1388454460539,285.051434722729,209.1763444216922,-184.7959366105497,0.435
-133.0488108736463,313.0333661912009,241.88176953420043,-144.39379738923162,0.44
-160.98960344260558,287.2542357966304,210.60124630481005,-171.12660227250308,0.445
-187.12028443301097,258.651480935514,185.0876488070935,-205.19335096888244,0.45
-168.55542105296627,280.6046936754137,215.75482844375074,-184.2760905167088,0.455
-146.6844861120917,300.8936509350315,221.02060758136213,-162.82776427082717,0.46
-159.10843376489356,292.2507421374321,218.82528630737215,-176.24278541188687,0.465
-182.00036139367148,260.54387031309307,182.4248400386423,-202.7960750972852,0.47
-177.5087415468879,271.9468252779916,204.88667917251587,-200.75408972147852,0.475
-144.40314713912085,306.75407416559756,232.41982264630497,-158.13418982643634,0.48
-158.44647147273645,287.8002611901611,208.0581143349409,-175.80521711707115,0.485
-183.11111168051139,260.84680220950395,181.54596354905516,-206.25922245625407,0.49
-165.8701728847809,280.2456632796675,199.73309703357518,-187.80281617492437,0.495
-148.16922639450058,303.5452400036156,237.1545359902084,-155.90146955288947,0.5
-169.31088084401563,285.38428581878543,218.46625591162592,-172.11019596084952,0.505
-177.2918273494579,260.0913424184546,182.62305473629385,-202.81851449701935,0.51
-168.08045375859365,279.30320849083364,196.11287387646735,-182.054589943029,0.515
-142.0844091665931,308.5866251438856,232.8499111412093,-141.19244302716106,0.52
-161.22521713981405,292.34797953628004,215.4705960471183,-159.95926100481302,0.525
-187.31849913066253,259.2386452285573,180.61472846008837,-195.3200150858611,0.53
-168.9892494478263,281.2853554673493,214.81611355487257,-180.7867638580501,0.535
-135.55454384395853,312.8426312934607,243.0785375200212,-145.85983817186207,0.54
-166.16562498128042,282.14927235711366,207.26899544429034,-172.8581759519875,0.545
-185.0371601576917,257.7987837456167,190.96303163748235,-201.42353181354702,0.55
-171.82783351419494,281.132019569166,213.9895956646651,-191.22856453433633,0.555
-152.17839914700016,300.175590143539,227.112904609181,-161.7431932836771,0.56
-158.9850170663558,286.26316230837256,223.8143128482625,-169.79893778823316,0.565
-185.60936485091224,261.606001900509,194.69919169321656,-209.18382422160357,0.57
-164.21339720441028,275.40997263696045,208.63405892811716,-188.04590967204422,0.575
-152.44767194380984,297.5389606747776,220.35864528920501,-159.82462460640818,0.58
-165.21569039253518,274.6769522456452,198.2745360508561,-177.0431240024045,0.585
-181.63759109796956,263.3749745795503,191.83816822711378,-193.06111551262438,0.59
-168.21509015699849,279.359306990169,210.9901959002018,-178.88315478060395,0.595
-143.10914175445214,302.89823731128126,226.6229777149856,-150.8114657131955,0.6
-155.424632308539,289.8796455655247,216.68232363276184,-167.42410131637007,0.605
-192.54687926871702,257.1256017535925,191.7970293276012,-208.4358442304656,0.61
-161.6889647343196,276.9545513186604,208.3199073318392,-183.17282002978027,0.615
-153.07223523641005,305.9986143745482,239.99685995653272,-152.31490549538285,0.62
-167.9906961596571,283.70881063863635,210.0290416115895,-171.83718326408416,0.625
-186.2900266428478,262.09966869466007,181.81523634586483,-206.34524015523493,0.63
-173.37989199580625,278.33831430226564,202.06679460592568,-188.81632906291634,0.635
-148.8723275861703,304.8018463887274,228.24609429575503,-150.7703268136829,0.64
-153.96981122577563,293.3988914238289,216.45044983550906,-162.93622136954218,0.645
-188.34697161847726,259.58645592443645,187.92997277341783,-204.40049217827618,0.65
-161.3523737383075,284.5839472282678,223.72829514928162,-177.6078488957137,0.655
-132.61872237874195,302.45692911650985,219.37879150081426,-148.83305863663554,0.66
-160.98960344260558,279.2171907918528,208.64901852793992,-170.76383197680116,0.665
-186.02449374599382,260.5214309133589,198.08006125316024,-202.76989579759538,0.67
-172.63565190462396,275.5707883350551,203.52161568868905,-181.18693315330893,0.675
