ch1,ch2,ch3,ch4,f
330.98994208808807,451.49515209319736,40.109967749908556,1005.3841590703045,0.0
1324.1558060221328,1806.0783919986065,160.46136127121375,4020.9961339202378,0.003
1324.1116721687843,1806.030493406327,160.41706151456233,4021.6959163675915,0.006
1324.3557209342557,1806.068453233444,160.48574440387804,4021.1298854884635,0.009
1324.2280557681725,1806.3068151260043,160.40799595988096,4021.0934811858497,0.012
1324.3277032548142,1806.075891537171,160.45681721712506,4021.5733144639803,0.015
1324.3855898953846,1806.2008121717645,160.49452756796387,4021.5320756783212,0.018
1324.3144938934659,1806.2171670765917,160.4490719841887,4021.9822108883945,0.021
1324.2544447477487,1806.6016986365773,160.37738948647848,4021.8918186907267,0.024
1324.2740564622686,1806.326884802221,160.48742000431403,4022.0394925327114,0.027
1324.4879335428002,1806.4332074459764,160.40675494445688,4022.337576489925,0.031
1324.5732172450562,1806.8977286843694,160.4418830662639,4022.5618188528756,0.034
1324.6966981172843,1806.8308892467926,160.4855802437072,4022.3922962451534,0.037
1324.787043250458,1806.9096985923293,160.55618816191065,4022.9374530243135,0.04
1324.81552078463,1807.3369941825688,160.56270057585527,4023.4275182804386,0.043
1325.0961386708268,1806.9970628477156,160.53323417237644,4023.3168310727838,0.046
1325.1211775955496,1807.5192769796865,160.53051237370238,4023.936424500998,0.049
1325.3046587209974,1807.5353450643497,160.52887279071106,4024.1804590779616,0.052
1325.2249444978047,1807.8153941203568,160.48872990915908,4024.6248706405495,0.055
1325.4207905364326,1807.8774545612132,160.55139329761346,4024.6140559540236,0.058
1325.7363613018204,1808.2938210852074,160.56889998571464,4025.3589156093954,0.061
1325.698190786061,1808.4377501284532,160.61556828058653,4025.6044753313367,0.064
1326.062806751846,1808.600859964844,160.59117645289365,4026.170346634539,0.067
1326.0744083120153,1808.6447478260898,160.595394694379,4026.3319266067374,0.07
1326.390931304223,1809.0965758396999,160.71325332147077,4027.210721061268,0.073
1326.5286543639213,1809.2437277291192,160.5604577898509,4027.499931961779,0.076
1326.766195741848,1809.6983175182454,160.70058481685285,4028.0247230701752,0.079
1326.995144892926,1809.947791789408,160.62981545300372,4028.615300849515,0.082
1326.966199289271,1809.8086122130799,160.61839094292404,4028.766713215724,0.085
1327.4676371779663,1810.4059560511735,160.84630332287955,4029.732944484723,0.089
1327.6538675576912,1810.7962643509,160.70336713691438,4030.046817403728,0.092
1327.842585111106,1811.0194948224564,160.8287286407251,4030.8520650999544,0.095
1328.0858872182953,1811.4465493760038,160.76771507469073,4031.423815247141,0.098
1328.1780529982354,1811.4627017280657,160.78918095611448,4031.9598180346457,0.101
1328.6914621791211,1812.165747466822,160.83653429416538,4032.523550932821,0.104
1328.7722372751161,1812.3073274713129,160.84936031002184,4033.5071970345566,0.107
1329.0582422651478,1813.006494568143,160.90537465674362,4034.1870725226167,0.11
1329.2682414992505,1812.990436542167,160.87544904765463,4034.8017668861694,0.113
1329.641853975373,1813.5167120953347,160.9146020580923,4035.5597890673666,0.116
1330.1260431065514,1813.7032254048158,160.980476038722,4036.4642497525706,0.119
1330.114823834369,1814.305231396215,160.90057265836677,4036.94311184607,0.122
1330.529840205913,1814.6572191898053,161.036198300697,4037.525419849517,0.125
1331.0090058810877,1815.2658953105897,161.02349166771577,4039.1897968076314,0.128
1331.0194181484692,1815.6543396513619,161.09156410536116,4039.7412483208886,0.131
1331.689688825447,1816.0751096483962,161.0937111443662,4040.4695474188156,0.134
1331.826787853607,1816.4445370293324,161.1156300249676,4041.356204612993,0.137
1332.2422905470148,1816.8959681924694,161.08683329487616,4042.521847197199,0.14
1332.5107360136258,1817.2385725273878,161.22390722796445,4042.7179607976177,0.143
1333.1286112833075,1818.2969389140133,161.26154041255154,4044.4064304300077,0.146
1333.5176749989682,1818.5923407754135,161.28566101579824,4045.3125468197727,0.15
1333.6713921148607,1818.8664098252198,161.21407984963028,4045.761452339059,0.153
1334.3179822068814,1819.585896152828,161.3370140569465,4047.1855479657947,0.156
1334.7523565263923,1820.3718358612748,161.48806716346363,4048.1916994649155,0.159
1334.8597759697777,1820.6243848122847,161.3550938660942,4049.108108053762,0.162
1335.4063084713218,1821.5427107471946,161.48805544509008,4050.5174104128837,0.165
1335.7544420890379,1821.7650809366219,161.4481007411598,4051.2617347302207,0.168
1336.2729185383369,1822.1286954965024,161.37338865755513,4052.085145771635,0.171
1336.9620779820928,1823.207634263895,161.5813751458233,4053.85333499609,0.174
1337.3566259763,1823.8405101567052,161.64454061035994,4055.38845997533,0.177
1337.4627657009564,1824.1074124204774,161.599685867546,4055.8809819037165,0.18
1338.1297111884144,1824.5969398458844,161.61626343102105,4056.9867189152133,0.183
1338.5989734881343,1825.2362185486745,161.7138120503883,4058.461994878267,0.186
1338.9189211938822,1826.2000109690573,161.71347634733763,4059.4968906049185,0.189
1339.8335715533924,1826.460548278077,161.88619445331048,4061.089972021938,0.192
1340.1438860091885,1827.7583190785235,161.82968199644847,4062.2900765642207,0.195
1340.3960383837452,1827.9046561661555,161.83997704964648,4063.459183533567,0.198
1340.9438666738154,1829.36774061092,161.90287449358806,4065.3005115799115,0.201
1342.060183034315,1829.8442648661562,162.08814449410065,4066.8264433459344,0.204
1341.5647867884868,1829.4644833934776,161.8904232764529,4067.228862935158,0.208
1342.4886918670297,1830.3459658045933,161.85798359989627,4068.048773415083,0.211
1343.3351905126483,1832.6064756705644,162.18198889318504,4071.2254479021303,0.214
1343.8868540745204,1832.745223335455,162.31487332388613,4071.7309728045593,0.217
1344.3379233868886,1833.6439017152024,162.13718812543775,4073.736327853988,0.22
1344.9355865564426,1833.9100727485795,162.3408727562292,4075.0447014507863,0.223
1344.9354535646626,1833.967704162432,162.1092738849274,4075.8300777001036,0.226
