ch1,ch2,ch3,ch4,f
120.949616938549,22.273534261137623,88.39111631066872,21.433950372839536,0.0
483.8008690776484,89.08924088836949,353.590377039771,85.74376328069748,0.012
483.82601365231466,89.08609621603739,353.64713724372467,85.76084245449434,0.024
483.9035506717136,89.07248700404881,353.77043379452306,85.81084255137928,0.037
484.0054725888064,89.04948807953718,353.9314007592406,85.86163179013195,0.049
484.1030267671116,89.01894280240528,354.1113004332323,85.94624090414834,0.061
484.23283924653805,88.98510518704583,354.3684829216349,86.02080632206719,0.073
484.364461451293,88.93771860971718,354.6516643494181,86.129116100657,0.085
484.60097124465113,88.89348554179199,354.9873910447888,86.2447579495406,0.098
484.7946528514363,88.84643024328213,355.3766223385758,86.38213218531263,0.11
485.05878004449323,88.78356893368796,355.79692994253634,86.52542893670392,0.122
485.286904968769,88.73035391128577,356.2813365421304,86.68913162157287,0.134
485.55991604211044,88.6398784685666,356.7853025554348,86.87640869595653,0.146
485.88396225088167,88.57491185673904,357.3705108334125,87.08326265627706,0.159
486.2161036833696,88.49270870755451,357.9871476046433,87.27865350525384,0.171
486.5766838148639,88.38920191774989,358.63531468197334,87.52438687427139,0.183
486.9693770087344,88.30098153375525,359.34900584645266,87.76612500069184,0.195
487.3813040484236,88.1935761732906,360.0938045353855,88.029494440117,0.208
487.8468671534674,88.08271734077844,360.9168882722445,88.32515738408378,0.22
488.3116159327355,87.9695810364045,361.7648250080046,88.61571000100649,0.232
488.740460333749,87.8329272629104,362.6980311701833,88.93702520938471,0.244
489.2444842175839,87.7100876366906,363.622398196223,89.26747965048513,0.256
489.8001066261485,87.5820227287688,364.65060456180146,89.62776518572556,0.269
490.39246153952473,87.42270958288987,365.71132366536824,89.96306948041686,0.281
491.0208287156084,87.2589243644949,366.8136340496753,90.39775549856141,0.293
491.5655595214838,87.1194194015422,367.9724694760833,90.76423544045933,0.305
492.1993160678418,86.93514997393882,369.1803828468696,91.20601466091574,0.317
492.8906606440494,86.76065526335343,370.5273322136791,91.65874563830296,0.33
