ch1,ch2,ch3,ch4,t
-229.2801766335033,-396.14703285647556,-401.5100493929349,-471.5527657130733,0.0
-208.1198226842098,-393.33462808979675,-396.45370465284213,-460.557459843345,0.005
-203.69178113667294,-386.5392298703082,-398.4395915293135,-452.7036699363962,0.01
-207.64111548988149,-389.4974907352589,-397.71031103795394,-457.0756129845977,0.015
-181.09156570443884,-376.0039316951297,-375.9665326955728,-445.8446934176609,0.02
-181.90686389477924,-357.0837778192945,-344.30453967070207,-430.0997146042064,0.025
-167.82240066165105,-350.39683669852093,-355.64765623630956,-419.6728735277429,0.03
-196.95622131647542,-374.8969213082455,-376.59109598817304,-442.5535814566538,0.035
-215.43132709758356,-390.5072637232952,-385.3910805839114,-457.79741367604584,0.04
-192.50574036920443,-359.634389589075,-364.81041112774983,-434.976544146426,0.045
-196.06238522706553,-379.6017154525034,-385.44343918329105,-441.7719423659146,0.05
-145.0838089310564,-343.9978678743355,-351.5225465851836,-409.3881486495957,0.055
-209.94489386258647,-372.32013023877516,-367.8995684911497,-443.94108434021473,0.06
-210.09448986081406,-370.2295261635445,-370.54367775982246,-446.6899108076468,0.065
-159.8713733558543,-336.1141587677412,-342.60662509081885,-423.0799223873764,0.07
-186.61913783894852,-344.83186556445435,-343.78843347681686,-427.30226943735033,0.075
-181.31969960173592,-341.39115760521963,-338.38801794080064,-422.78073039092124,0.08
-217.4209538740106,-355.39334303932264,-348.6278640194796,-441.08754067402333,0.085
-193.65014975564554,-345.209595459979,-346.04733305005357,-438.41725210566074,0.09
-177.29556724941358,-317.2725427909754,-307.61986100533977,-408.901961655356,0.095
-207.7832316881977,-365.6743280175142,-349.13275051349774,-434.2472636550665,0.1
-193.2985991598107,-357.87663660990074,-353.5533122611232,-433.18139216769487,0.105
-176.57376655796543,-340.6543973139487,-355.20260814158246,-430.5410227989778,0.11
-186.2189685436897,-325.6648782915436,-317.253843291197,-420.0206842236221,0.115
-210.8237703521736,-351.4739278857596,-346.34652504650876,-435.22337754350156,0.12
-193.70998815493658,-363.24339304631576,-370.76807175716385,-441.22217707242817,0.125
-206.91183499852195,-358.7742125992663,-366.930934402626,-452.71488963626325,0.13
-186.52190044010058,-342.45702909259126,-334.9921887810342,-431.48347758781165,0.135
-203.88625593436882,-357.68964161211625,-367.0468713012524,-444.59556683246046,0.14
-191.13319708546624,-333.72062279609963,-330.15649813832715,-419.9832852240652,0.145
-207.19980729511008,-327.8826389652677,-323.1703650210984,-410.17726754024625,0.15
-167.52694856515154,-307.5338433063589,-300.1213615941815,-392.2182679530233,0.155
-170.26829523267224,-307.6497802049853,-289.7393993171863,-388.7850397937,0.16
-158.62224677065387,-321.0947205456905,-327.55726766912267,-407.39478197321296,0.165
-169.88308553723618,-316.0271561057307,-314.7967290203087,-394.3724503275007,0.17
-167.43719096621498,-326.18846428534016,-345.8117193528451,-408.54667115956545,0.175
-170.48520943010226,-338.60119223827496,-354.5481256493367,-422.91910668928176,0.18
-156.0192764014937,-325.19739079708233,-351.3430313873105,-411.905101319775,0.185
-162.73613672191277,-332.5425543100573,-351.08871819032356,-412.5745434118435,0.19
-161.07188124163076,-335.2203226783313,-346.8551514404826,-407.99316596612334,0.195
-139.54127719672397,-308.3080025971867,-308.1621464989148,-390.0416461788118,0.2
-152.38035374460742,-306.2772369212471,-313.7906959322281,-394.3425311278552,0.205
-230.47320471936837,-332.97264280496165,-338.53761393902823,-426.99559764098376,0.21
-251.73827586742118,-353.628110260237,-358.62087670108303,-449.4462170749903,0.215
-222.65681381197646,-340.2916270182468,-339.3566520293243,-437.26910281926394,0.22
-148.22906479379162,-285.98827966162935,-282.02024580864236,-376.7313422365114,0.225
