frequency,correlation,time
8.57,0.5374077779287177,03:47:07
15.0,0.5021279648218467,03:47:09
12.0,0.49739103518893163,03:47:13
12.0,0.4730756091942403,03:47:15
6.67,0.5055347896618814,03:47:17
12.0,0.4051293857933527,03:47:19
6.67,0.4975806423137522,03:47:21
7.5,0.5635811487403242,03:47:23
8.57,0.4048069307660244,03:47:27
12.0,0.551887390003461,03:47:29
7.5,0.4512854848766773,03:47:31
15.0,0.5085986246298964,03:47:33
15.0,0.5540594048654843,03:47:35
15.0,0.46183738890358617,03:47:37
15.0,0.37904170361553174,03:47:39
