ch1,ch2,ch3,ch4,f
83284.89814532774,8714.354250589644,19162.970120697944,580.821167074611,0.0
333144.2476771605,34857.67438141934,76655.3974984977,2324.7514119071448,0.006
333155.4080108108,34858.89065734552,76658.46389243947,2329.2813302235445,0.012
333169.88289015304,34860.642746170146,76664.6850536581,2337.232094894448,0.018
333191.461790721,34864.75550429704,76670.87348128854,2347.5857131199773,0.024
333217.88694031734,34868.098228477786,76683.69513391568,2361.684358835306,0.031
333252.92685123894,34873.27025852439,76696.4072156963,2378.4346335868086,0.037
333291.05349546694,34878.79453961752,76710.0749086242,2398.547783098173,0.043
333338.72334410204,34884.96460760041,76728.05818089905,2421.6658662516174,0.049
333394.4958851364,34893.24460925519,76748.097831931,2447.863254560307,0.055
333449.3409120744,34901.037502612075,76770.80365609389,2476.9192514660413,0.061
333516.0980115794,34910.39088404586,76795.15361206784,2509.4203642440257,0.067
333585.20366450463,34920.61828926262,76821.87792752573,2544.830084948513,0.073
333663.19117447565,34931.306516495824,76852.43800072925,2583.4765191734114,0.079
333745.95029074117,34943.67978840396,76881.83942850253,2625.3118145860913,0.085
333837.0274015749,34956.384522754655,76915.69475970154,2669.9400503666175,0.092
333932.0123618907,34970.13647995017,76952.59891785472,2718.250671864283,0.098
334034.660250112,34984.935614192764,76990.5131977255,2769.407325586192,0.104
334142.06157314725,35000.20047408382,77030.0614245483,2823.4490038577383,0.11
334259.22174475115,35016.4274755658,77075.77190908972,2881.071868071045,0.116
334379.2368080518,35033.98422222085,77121.15679444527,2941.6611823455505,0.122
334507.1344634367,35051.45242996,77168.78250752324,3005.2415287298572,0.128
334640.08521894144,35071.252947284534,77219.9540559233,3072.6092147346785,0.134
334781.4802230436,35090.34921462059,77272.76200627588,3142.396692764954,0.14
334926.2205089804,35111.22184707761,77328.87016531224,3216.1159459014343,0.146
335080.2746807226,35132.60697466976,77385.97774587598,3292.835850397309,0.153
335238.55468309583,35155.52769934182,77445.8893925087,3372.8082125024393,0.159
335404.1706292285,35178.783110888486,77508.76094508059,3455.8059877740907,0.165
335575.2526087296,35203.718222186435,77574.2373918102,3542.56039570682,0.171
335755.14241371816,35228.69547333334,77641.15985583808,3631.9653720847336,0.177
335942.23107498337,35254.404003555625,77712.2290829667,3725.3313125199143,0.183
336131.4539409695,35282.04159315908,77784.13580839141,3821.9363849883925,0.189
336327.7027488909,35309.60755926519,77859.59704438462,3921.790298633441,0.195
336532.64139300905,35339.005177863,77935.85399327635,4024.691653478991,0.201
336744.4351225677,35368.95991563565,78016.31003562425,4131.703744880655,0.208
336961.01102346706,35398.989051485834,78100.01398651362,4241.094046889781,0.214
337184.4472207231,35430.165319935375,78183.84729882395,4355.231445386084,0.22
337416.445979488,35462.76774558021,78270.94625185888,4471.3578333211935,0.226
337652.5679591531,35496.61958338994,78361.9742013819,4592.786800139963,0.232
337899.3202203333,35529.66339990201,78454.64624609413,4715.26991236488,0.238
338146.8679528014,35565.41609202005,78549.86099796546,4843.710395030273,0.244
338409.17361831974,35601.20654497655,78647.84726468431,4974.221816063597,0.25
338665.37122156116,35638.899997386645,78748.47709369875,5108.89296851726,0.256
338937.834695405,35676.29655410521,78851.25363678178,5246.339602158003,0.262
339217.594716605,35713.54930525246,78953.80204192681,5389.041938817092,0.269
339504.91257079574,35757.70217075828,79067.06628972948,5533.534267961668,0.275
339792.0401443241,35794.041733503036,79174.85183446849,5682.970636997184,0.281
340092.90779018524,35835.97126503637,79288.91695098495,5836.159572125535,0.287
340397.43604649644,35879.52411355784,79403.40237885578,5991.10880799912,0.293
340726.0029424774,35924.640250071665,79530.2646930387,6153.192850825432,0.299
341018.06127149035,35961.5006379277,79642.08889179629,6314.843865124065,0.305
341371.7135932728,36015.86505280239,79772.101326727,6484.451826943405,0.311
341684.07730162906,36049.84915773119,79888.45268535624,6656.013764194949,0.317
342028.04046696215,36107.32196463245,80028.95158727762,6831.913285901526,0.323
342372.4117796624,36147.12790677278,80153.493892067,7008.16584927792,0.33
342734.2496716879,36200.67965872149,80300.30566818052,7201.611685008267,0.336
343095.7144600522,36251.517225419004,80433.83711469079,7375.326075673121,0.342
343494.73865806794,36309.943141657735,80584.31199265752,7582.168999491097,0.348
343805.4187968371,36337.1352352155,80708.02373043846,7774.4433106472425,0.354
344198.85697692836,36396.79234300646,80858.75539199488,7970.145574886916,0.36
344658.28317198,36465.68093447657,81027.13560738137,8161.172610273226,0.366
345017.20716689737,36507.66745571274,81162.00564551784,8385.70608496589,0.372
345429.86002931354,36573.58397158882,81344.03477032977,8589.22451778153,0.378
345810.3904416827,36609.01840042983,81449.9694136575,8830.383036073235,0.385
346241.36159802193,36678.29696991879,81664.50533998931,9009.571018661813,0.391
346590.2245841581,36710.27120686556,81796.00315120445,9272.498974979866,0.397
347082.26199953584,36793.334332225,81966.87135760281,9476.22368297974,0.403
347588.7971321277,36866.06119697132,82158.62106525086,9707.921320400737,0.409
348044.7993306479,36914.354053607356,82315.81012305075,9955.632932867971,0.415
348407.71321075165,36972.560991465616,82510.7359186704,10217.528680307312,0.421
349032.1201119345,37058.1721997946,82700.4571024567,10440.404078011055,0.427
349287.66660163406,37055.31666349035,82802.79590305645,10713.168020284367,0.433
349871.37906629936,37153.891884458,83072.46283327731,10945.608996054938,0.439
350413.84676819405,37230.65471789739,83243.42798286598,11198.155599467567,0.446
350923.48625139793,37270.359768750255,83359.7412341054,11506.87792146563,0.452
351273.0440450748,37338.086330896775,83665.9682397328,11712.973352510322,0.458
352029.486353787,37460.33607458761,83839.3935653442,12030.705345567156,0.464
352409.78360287147,37448.218921370266,83991.04728148885,12308.945398037722,0.47
352957.59493934317,37589.93388633371,84272.2963229289,12600.106252028307,0.476
353475.240999234,37641.96808213726,84443.75906834274,12886.17387888564,0.482
353982.422782198,37669.18897264016,84632.29177052985,13246.762426665937,0.488
354510.8810291075,37743.90343559809,84847.95587405594,13458.164441192348,0.494
355174.3153657003,37806.74608512967,84999.157454656,13790.674121445083,0.5
355567.45704301144,37919.388065206454,85348.50664095764,14038.131681247492,0.507
356683.3987557764,38023.583012868134,85691.50963563818,14416.939377730158,0.513
357100.77784813923,37992.976736336335,85554.42648213875,14642.900724994945,0.519
357431.53956521646,38238.712978211326,86249.23526617647,15082.442313684745,0.525
358342.68083666445,38245.50304206092,86310.19401282891,15254.333743713945,0.531
358685.8680624938,38242.17820766281,86430.27191032017,15876.627632009033,0.537
359155.7571122272,38309.58491315501,86774.54253474752,15899.702476319542,0.543
360019.24593083526,38445.518781369276,86989.32085873358,16562.49721277726,0.549
360499.25669627654,38439.576801906165,87130.44551784961,16710.461850591506,0.555
361629.017820255,38681.80706327974,87665.94627692511,17235.749200434766,0.562
361643.55739833566,38696.69547017295,87539.31314449562,17297.946283018096,0.568
362768.6949902708,38800.67151744409,87955.98519369023,17907.52369744673,0.574
363566.3226340688,39216.09436737768,88634.30226875484,18046.5198466988,0.58
363739.1677143375,38673.5011289913,88070.27550317178,18957.685537260102,0.586
363908.0758723792,39074.015356884105,88988.50923044221,18842.083574812666,0.592
364432.766050839,38831.07521805642,88587.8744367566,19527.57969581749,0.598
366012.1033589956,39068.113322934674,89119.42433372645,19528.159023113145,0.604
366838.5896759171,39238.54114642582,89738.54992042792,19853.587318766717,0.61
368650.76486183703,39687.761064110346,90314.40728092096,20500.639298152422,0.616
368393.03029274347,39406.44746639315,90271.47825538748,21113.056831509683,0.623
370044.0902389522,39857.73245271969,91184.97574570151,21559.77424734435,0.629
368548.0879613352,39252.635174151634,89990.66134919983,21776.64878861283,0.635
370876.7614140341,39830.272892661014,91560.32335468972,22280.800792505106,0.641
371820.74635923223,39937.6024929759,91563.15399812763,22252.57176510071,0.647
372771.3245244147,39722.736228273076,91319.43099321391,23488.119584644028,0.653
372338.94307437254,40124.96620286882,92557.60821612719,23183.32020899511,0.659
374849.03107633797,40339.47335630758,92848.54742681366,23990.349565875815,0.665
373660.2859878969,39747.172928141204,91822.35801687419,24558.01749668883,0.671
376190.1357982544,40494.89411731213,93811.53035288525,24778.792597314678,0.677
376970.39519937546,40137.280969907726,93097.55532510942,25251.41961204241,0.684
378858.0948230143,40671.175447208465,93838.32247280223,26832.844992706196,0.69
378009.2705916296,40681.97109489281,95149.31814982399,25695.964719752064,0.696
380318.2773793919,40863.92095832451,94417.2198059335,27264.986885498165,0.702
380976.66174198483,41119.48157002452,95788.30518313822,26945.153607520446,0.708
381270.4421455495,41940.3727487222,96392.99468888431,27697.073483942037,0.714
381894.8791891628,40157.71081185583,94105.86322007056,28275.668859770623,0.72
381933.5885575246,41580.901696301764,96437.94514728288,29595.895957534678,0.726
382829.5788840339,41210.31121320682,96028.29352583924,28956.020032746812,0.732
384955.17824086506,41087.2457696532,96432.14924180336,30869.665801358446,0.739
386812.92357442697,42064.05311175941,98338.77688241066,28674.45933486163,0.745
385621.2934317728,40770.58076410131,96434.50954345471,32509.076140041336,0.751
390781.30833309505,41922.5141170248,97924.52420887812,31077.193736330744,0.757
388745.95008983836,41543.51996537914,98122.67753861072,33214.049047925524,0.763
390554.7332774187,41715.06254416226,99762.20251975408,31571.354870386625,0.769
393724.3904667217,42736.83154679018,99932.08916671522,32919.59863799917,0.775
393120.317356755,43236.47853491343,102532.95820465531,33309.942396774146,0.781
393688.0652765764,41155.17027749905,97559.07214144655,36055.84330728029,0.787
395425.54136015574,43878.74468223314,103646.57504350538,34163.514979418265,0.793
392273.206819472,42088.502970617104,99785.35446139595,35713.15645113341,0.8
401122.21809451573,43163.264593693275,102104.03961332033,36458.50223712149,0.806
400478.3285269084,43991.16327157429,104347.41539423961,34900.31892921205,0.812
401695.4778013783,43341.33963977624,102286.56749526934,38838.75359461916,0.818
401798.83358897886,41982.233160360636,103014.68852375,38362.92991684466,0.824
404741.0851072969,43389.453467021835,104851.25798284603,40623.33150844704,0.83
401617.23553513555,41791.28530068908,102692.91762491853,36780.485029953656,0.836
405088.23295105627,43521.27325852027,106102.75971027731,41657.98226423723,0.842
407767.6256767452,44970.891707568044,106665.14075732697,36802.395105953095,0.848
409993.819417673,43173.26823331211,106826.99757601961,45772.8087700117,0.854
404818.55228233093,44111.157399421616,106608.30252609785,39673.616504043486,0.861
417848.90499571234,47182.15337608911,108877.4601101348,43912.449345342306,0.867
411845.6939787289,43739.60072677106,106471.34274403228,41891.62503462622,0.873
416770.3972983455,45407.559471594715,110468.94322527318,44798.88444788716,0.879
411438.29535948357,43393.76916657203,108836.45171276,42868.67819418,0.885
424068.59553208953,46486.66704555437,112397.19053277763,48721.42449984758,0.891
419690.272640669,44969.46036348588,112086.59859250156,42387.01534219618,0.897
420909.31610770547,44742.07071872117,111329.56654291468,50812.59293039783,0.903
426139.7363232847,46068.60831883513,112804.00350926614,46552.86613682984,0.909
429597.2875315155,47960.891334538435,116985.83851295912,51494.16478322,0.916
421783.1653314098,41445.50248367804,108498.93667224972,49613.994136653244,0.922
421950.1528743276,43640.99377823523,111979.66963860534,51199.64703771373,0.928
431478.44941640145,50006.71921046101,118508.16256215863,49513.98170168447,0.934
430573.06934534496,43435.925435085825,108880.05432190662,53155.12486038543,0.94
439599.9668240142,48553.14164551349,125464.24063871404,46779.350519266256,0.946
432357.0600554193,44294.42303458591,111462.69206713229,54922.46405865636,0.952
457201.8413219488,51937.86153462472,122336.75858210222,56816.813446452325,0.958
432188.00297929015,46502.95028385693,118147.5146114685,50131.06499332662,0.964
447626.7551838606,53100.0279685503,122134.75046560152,58909.0150696843,0.97
445991.9631224432,47141.606338748,123867.89517404485,54336.07752486457,0.977
457761.3139092861,51392.952030236986,129825.58930852104,60080.97870645683,0.983
456135.779623597,51089.06115213751,119088.65466463772,57071.052681289744,0.989
443910.96269850066,47916.78894013259,127867.78987692662,66215.1807255091,0.995
443064.4504157115,49825.08487185624,126951.70101666915,51166.18883436245,1.001
457418.6437434044,44901.16574291439,117969.71877118535,76248.9693760823,1.007
459615.97499791806,51253.98596311092,126738.51545246669,54989.06686517939,1.013
463664.76913485996,49395.957207092004,126292.69746197308,81520.53696404288,1.019
492401.99464962987,56779.60064754721,137220.6105321454,62504.799193904764,1.025
452115.7607211051,52093.65019378923,123661.60459481597,75601.29573929383,1.031
459090.4393445433,55230.329298734345,135241.33756952107,58271.62838150861,1.038
482030.4186399137,55156.61203852978,140948.57167937624,76236.03321069886,1.044
479853.96381452447,58757.8661806458,139609.09029622315,55186.95768923572,1.05
479615.5280834809,51322.0750768173,128773.38972914935,91604.83027637887,1.056
473817.68468525173,52323.709840725176,139133.9178646208,52918.12009243121,1.062
500785.1991150248,62381.38297009326,147882.78854676886,84790.32824526496,1.068
478728.7117702041,47597.45075095707,136270.09236342373,59961.98142797923,1.074
484417.8934349492,50267.48097282259,143435.10389684536,94463.28652854243,1.08
513152.4061407254,51770.40886523703,142614.2463386871,70594.23846942243,1.086
510469.5786425395,59844.81484096316,154767.31838842094,115416.96867930889,1.093
426318.93828840385,36503.830649916315,115246.1591496044,70512.35910370624,1.099
499987.5033134064,58277.09235058706,127210.63567036008,94280.75898604933,1.105
547413.1574288463,56418.913538820736,157681.26434811635,56473.960362834776,1.111
515272.5894261842,70693.42930324948,166160.60970397963,66076.89563733512,1.117
556868.678991035,68071.88259084789,163786.46969942577,103446.92808893403,1.123
514808.3786414319,55616.612862947746,149695.18945112522,70260.67067410021,1.129
555264.3879829545,93733.94527692624,208350.3483044447,88496.48761417401,1.135
532314.177166064,37370.73180137893,134401.1266016666,91078.48660198893,1.141
530816.6515243021,65294.60985509732,169883.40694770377,97276.59912212878,1.147
532559.8336910218,49963.30130431813,146738.03716015432,91571.24049492714,1.154
581731.1464014879,71583.68214257281,181810.58746102586,127657.37062764187,1.16
518193.2360292379,55656.80666813198,147567.19512293788,81959.97763373105,1.166
574860.3223461751,81160.34124363938,178963.20530710503,135214.5341703247,1.172
570745.5734904185,54020.23538642736,206590.88224719575,95266.83506035258,1.178
612230.1662090363,94123.23634671254,209460.59593366014,133731.6406681938,1.184
501685.7620405618,56172.33176235532,149567.4576828676,107484.7789337898,1.19
603589.5532037776,69776.73143154696,187706.92897709509,76100.64947264813,1.196
667312.8404957023,119119.00676881155,296526.00772817945,86512.3780108088,1.202
587666.7718990681,77413.41695918962,181171.78942004868,171751.77628352377,1.208
484281.3286630074,58641.575386217126,139836.10577874037,111001.85232709468,1.215
652106.4951400408,70038.14484662568,183983.8515428351,165256.2408466396,1.221
584895.8230570918,62716.55405760824,163972.4715037637,80316.05122827314,1.227
596484.7732760396,72607.32108390902,190822.10408342458,158856.74240254826,1.233
600632.8075328703,89666.32940812451,191440.76367779897,134172.78842908872,1.239
656787.0800541879,66121.48425863116,203940.4753819786,208776.47789061654,1.245
621527.31122844,82787.64069348898,217562.11351302036,134965.42052902756,1.251
601728.3176740254,100478.35706699222,229598.93843587372,208889.1450244535,1.257
656349.8346125874,83515.65720061824,192267.92787325784,56097.96055640893,1.263
719097.1680721958,172325.51601937212,349331.7794243388,152012.04845121087,1.27
724831.3039026927,111063.38380145353,238128.4945896016,139269.7065362978,1.276
487301.4357872405,78702.50037615608,227810.44456535878,243957.84872447958,1.282
768858.5651204227,67216.4784832911,206165.47889651274,147868.25384973173,1.288
629826.7462082407,76083.18188551758,212419.19621920877,225053.71970980163,1.294
721027.7211667844,91005.4257317188,278625.30393080687,108389.0674010758,1.3
544730.7613090767,33233.63686229732,175260.2126074461,216028.3340003064,1.306
912525.9324355952,117373.9200812551,258043.12931336966,149213.45538468042,1.312
511027.3527564548,107303.01537297458,256099.77020900836,191863.54855710096,1.318
765882.9884151951,111557.74512487793,223796.20445556383,338213.9941994564,1.324
539021.8985791117,42279.577485407666,161455.5148196199,149016.2085940543,1.331
832441.7639250067,228739.13096097278,391913.1828923122,187593.26507385168,1.337
673410.9746342301,88957.11964407079,262939.97596899275,192932.11987042084,1.343
