ch1,ch2,ch3,ch4,f
2.4881259851346685e+83,3.658677238388931e+85,8.47458652455061e+84,3.9505031437496354e+83,0.0
9.936267339912965e+83,1.4611047227072143e+86,3.3843389507208584e+85,1.5776513218612788e+84,0.006
9.887874647363567e+83,1.454052280082779e+86,3.367957766851559e+85,1.5700507600283018e+84,0.012
9.80826177142979e+83,1.4424495556741694e+86,3.341003358497978e+85,1.5575449461878542e+84,0.018
9.698938545279125e+83,1.4265159381782416e+86,3.303979745213212e+85,1.540368509644079e+84,0.024
9.561918352110978e+83,1.406544004090666e+86,3.257559464006189e+85,1.518834546065293e+84,0.031
9.399628228584168e+83,1.3828864723531748e+86,3.202553908974234e+85,1.4933208187769477e+84,0.037
9.214806655146056e+83,1.3559413722363386e+86,3.139879572284562e+85,1.4642540426813457e+84,0.043
9.010396586020194e+83,1.3261365196496238e+86,3.070522661534758e+85,1.4320933979648456e+84,0.049
8.789440785241322e+83,1.2939143259637e+86,2.995504412792027e+85,1.3973143505032039e+84,0.055
8.554985396210933e+83,1.2597177979121066e+86,2.9158490496444216e+85,1.360393687201654e+84,0.061
8.309996127905254e+83,1.2239783631833826e+86,2.8325558366381373e+85,1.3217964441486509e+84,0.067
8.057289751301147e+83,1.1871059116506276e+86,2.746576125107285e+85,1.281965152117315e+84,0.073
7.79948199107289e+83,1.1494812095114013e+86,2.658795764296523e+85,1.2413115813214186e+84,0.079
7.538951533213119e+83,1.1114506464148156e+86,2.5700228040693658e+85,1.2002109598390012e+84,0.085
7.277818838952525e+83,1.073323126857583e+86,2.4809800769616227e+85,1.1589984814591563e+84,0.092
7.017937782338867e+83,1.0353688200294336e+86,2.3923020247452047e+85,1.1179678127890408e+84,0.098
6.760897785441435e+83,9.978194328681136e+85,2.3045350193195397e+85,1.0773712527134547e+84,0.104
6.508034052552973e+83,9.608696608335955e+85,2.218140400715082e+85,1.0374211815188386e+84,0.11
6.260443631174401e+83,9.246794894175859e+85,2.1334994930075287e+85,9.982924519302244e+83,0.116
6.019005282152179e+83,8.893770563522414e+85,2.050919938955154e+85,9.601254096751311e+83,0.122
5.784401462940698e+83,8.550618309279857e+85,1.9706427962630744e+85,9.230292779201658e+83,0.128
5.557141069137319e+83,8.218079158200419e+85,1.8928499471269495e+85,8.870856908044845e+83,0.134
5.337581906966935e+83,7.896673235068737e+85,1.8176714774069784e+85,8.523522110781104e+83,0.14
5.125952162683313e+83,7.586731207917232e+85,1.745192775905363e+85,8.188657121183905e+83,0.146
4.922370383392257e+83,7.28842369696557e+85,1.675461184535211e+85,7.866455434331948e+83,0.153
4.726863684461199e+83,7.001788207973988e+85,1.6084920957780205e+85,7.556964304201982e+83,0.159
4.5393840533313125e+83,6.726753363657552e+85,1.5442744453120865e+85,7.260110837320264e+83,0.165
4.359822733111614e+83,6.463160363503862e+85,1.4827755864556885e+85,6.975725117446818e+83,0.171
4.1880227482801913e+83,6.2107817133080195e+85,1.423945560870413e+85,6.703560423058143e+83,0.177
4.02378968604656e+83,5.969337341507452e+85,1.3677207986629421e+85,6.44331068242899e+83,0.183
3.8669008769817217e+83,5.738508269312711e+85,1.3140272923985226e+85,6.194625361173091e+83,0.189
3.717113133078762e+83,5.5179480332261436e+85,1.262783295254751e+85,5.95712200381308e+83,0.195
3.5741692050558807e+83,5.307292077347295e+85,1.2139015950907272e+85,5.730396662169811e+83,0.201
3.437803116949114e+83,5.106165342538421e+85,1.167291414881224e+85,5.514032444928065e+83,0.208
3.307744527417868e+83,4.914188282216771e+85,1.1228599868501286e+85,5.307606418512347e+83,0.214
3.1837222555492644e+83,4.7309815313727046e+85,1.0805138435818356e+85,5.11069508156908e+83,0.22
3.0654670956587345e+83,4.556169446952909e+85,1.040159865009343e+85,4.922878624823683e+83,0.226
2.952714031684157e+83,4.389382724408663e+85,1.0017061158725498e+85,4.74374417503864e+83,0.232
2.845203948060085e+83,4.230260277520637e+85,9.650625042281809e+84,4.572888206148135e+83,0.238
2.7426849210252026e+83,4.0784505473603224e+85,9.301412879605499e+84,4.4099182824044854e+83,0.244
2.644913162536045e+83,3.933612382504921e+85,8.968574529958913e+84,4.2544542779037275e+83,0.25
2.551653678507237e+83,3.7954156076819347e+85,8.651289840297643e+84,4.1061291949296555e+83,0.256
2.4626806939790167e+83,3.663541373285157e+85,8.348770459951522e+84,3.964589681251944e+83,0.262
2.377777889919834e+83,3.537682355034594e+85,8.060260921902104e+84,3.829496325048528e+83,0.269
2.2967384895446865e+83,3.417542852606107e+85,7.785039129165446e+84,3.7005237866172957e+83,0.275
2.2193652261042735e+83,3.302838819146797e+85,7.522416366212989e+84,3.5773608093433873e+83,0.281
