ch1,ch2,ch3,ch4,f
inf,inf,inf,inf,0.0
inf,inf,inf,inf,0.002
inf,inf,inf,inf,0.003
inf,inf,inf,inf,0.005
inf,inf,inf,inf,0.006
inf,inf,inf,inf,0.008
inf,inf,inf,inf,0.009
inf,inf,inf,inf,0.011
inf,inf,inf,inf,0.012
inf,inf,inf,inf,0.014
inf,inf,inf,inf,0.015
inf,inf,inf,inf,0.017
inf,inf,inf,inf,0.018
inf,inf,inf,inf,0.02
inf,inf,inf,inf,0.021
inf,inf,inf,inf,0.023
inf,inf,inf,inf,0.024
inf,inf,inf,inf,0.026
inf,inf,inf,inf,0.027
inf,inf,inf,inf,0.029
inf,inf,inf,inf,0.031
inf,inf,inf,inf,0.032
inf,inf,inf,inf,0.034
inf,inf,inf,inf,0.035
inf,inf,inf,inf,0.037
inf,inf,inf,inf,0.038
inf,inf,inf,inf,0.04
inf,inf,inf,inf,0.041
inf,inf,inf,inf,0.043
inf,inf,inf,inf,0.044
inf,inf,inf,inf,0.046
inf,inf,inf,inf,0.047
inf,inf,inf,inf,0.049
inf,inf,inf,inf,0.05
inf,inf,inf,inf,0.052
inf,inf,inf,inf,0.053
inf,inf,inf,inf,0.055
inf,inf,inf,inf,0.056
inf,inf,inf,inf,0.058
inf,inf,inf,inf,0.06
inf,inf,inf,inf,0.061
inf,inf,inf,inf,0.063
inf,inf,inf,inf,0.064
inf,inf,inf,inf,0.066
inf,inf,inf,inf,0.067
inf,inf,inf,inf,0.069
inf,inf,inf,inf,0.07
inf,inf,inf,inf,0.072
inf,inf,inf,inf,0.073
inf,inf,inf,inf,0.075
inf,inf,inf,inf,0.076
inf,inf,inf,inf,0.078
inf,inf,inf,inf,0.079
inf,inf,inf,inf,0.081
inf,inf,inf,inf,0.082
inf,inf,inf,inf,0.084
inf,inf,inf,inf,0.085
inf,inf,inf,inf,0.087
inf,inf,inf,inf,0.089
inf,inf,inf,inf,0.09
inf,inf,inf,inf,0.092
inf,inf,inf,inf,0.093
inf,inf,inf,inf,0.095
inf,inf,inf,inf,0.096
inf,inf,inf,inf,0.098
inf,inf,inf,inf,0.099
inf,inf,inf,inf,0.101
inf,inf,inf,inf,0.102
inf,inf,inf,inf,0.104
inf,inf,inf,inf,0.105
inf,inf,inf,inf,0.107
inf,inf,inf,inf,0.108
inf,inf,inf,inf,0.11
inf,inf,inf,inf,0.111
inf,inf,inf,inf,0.113
inf,inf,inf,inf,0.114
inf,inf,inf,inf,0.116
inf,inf,inf,inf,0.117
inf,inf,inf,inf,0.119
inf,inf,inf,inf,0.121
inf,inf,inf,inf,0.122
inf,inf,inf,inf,0.124
inf,inf,inf,inf,0.125
inf,inf,inf,inf,0.127
inf,inf,inf,inf,0.128
inf,inf,inf,inf,0.13
inf,inf,inf,inf,0.131
inf,inf,inf,inf,0.133
inf,inf,inf,inf,0.134
inf,inf,inf,inf,0.136
inf,inf,inf,inf,0.137
inf,inf,inf,inf,0.139
inf,inf,inf,inf,0.14
inf,inf,inf,inf,0.142
inf,inf,inf,inf,0.143
inf,inf,inf,inf,0.145
inf,inf,inf,inf,0.146
inf,inf,inf,inf,0.148
inf,inf,inf,inf,0.15
inf,inf,inf,inf,0.151
inf,inf,inf,inf,0.153
inf,inf,inf,inf,0.154
inf,inf,inf,inf,0.156
inf,inf,inf,inf,0.157
inf,inf,inf,inf,0.159
inf,inf,inf,inf,0.16
inf,inf,inf,inf,0.162
inf,inf,inf,inf,0.163
inf,inf,inf,inf,0.165
inf,inf,inf,inf,0.166
inf,inf,inf,inf,0.168
inf,inf,inf,inf,0.169
inf,inf,inf,inf,0.171
inf,inf,inf,inf,0.172
inf,inf,inf,inf,0.174
inf,inf,inf,inf,0.175
inf,inf,inf,inf,0.177
inf,inf,inf,inf,0.179
inf,inf,inf,inf,0.18
inf,inf,inf,inf,0.182
inf,inf,inf,inf,0.183
inf,inf,inf,inf,0.185
inf,inf,inf,inf,0.186
inf,inf,inf,inf,0.188
inf,inf,inf,inf,0.189
inf,inf,inf,inf,0.191
inf,inf,inf,inf,0.192
inf,inf,inf,inf,0.194
